1 12  405.23198  224.47913  466.43727  -70.67071  -51.78615  256.58627  -67.08218  -71.06284   98.49242  248.98610    0.60788    0.27649    0.11660    0.37948    0.28322   -0.00066    0.13708    0.21548   -0.00723    0.13083    0.16385    0.08009    0.19503    0.05439    0.14952    0.09575   43.39841   43.27664   14.53574   13.24568    0.03248    0.02308    0.04178    0.02889    0.03848    0.00916    0.08274    0.02793    0.00749    0.05419    0.07011    0.00740    0.08626    0.01103    0.02335    0.01407   64.72398   52.02432   72.78448  -48.97485  -36.75277  108.72138  -30.75018  -22.96998   91.96307  103.61151
1 13  400.78844  223.71949  464.75074  -73.95989  -57.03212  253.12253  -72.08903  -73.78105   97.43416  249.27298    0.60181    0.27236    0.10664    0.40251    0.27083    0.01027    0.13805    0.22181   -0.02388    0.09875    0.10547    0.06167    0.15115    0.05564    0.15726    0.11183   44.88055   43.51197   13.12442   12.71675    0.03458    0.02468    0.03253    0.02430    0.03558    0.00874    0.07709    0.02486    0.00739    0.04342    0.07222    0.00801    0.08774    0.00997    0.01500    0.01511   46.19472   31.99226   57.71335  -31.65647  -25.49815  111.40984  -17.69417  -18.20371   99.32255  115.48468
1 14  393.88466  220.31886  464.61311  -77.77858  -59.57119  254.42690  -75.34558  -75.94560   97.21160  250.49653    0.63980    0.27309    0.11466    0.38668    0.27735    0.00067    0.12738    0.22012   -0.00962    0.10194    0.16038    0.06287    0.12932    0.04263    0.14332    0.10663   46.17172   44.89958   14.35070   12.99381    0.02982    0.01712    0.03241    0.02394    0.03674    0.00608    0.07113    0.02191    0.00586    0.04877    0.05484    0.00952    0.08906    0.01182    0.01556    0.01801   66.34135   40.72683   61.12781  -46.65232  -27.46655  123.66642  -24.06742  -18.14566   93.39507  100.74699
1 15  389.37411  217.39386  465.10002  -81.35752  -63.07489  251.22216  -78.17948  -79.41076   96.91740  250.71986    0.63976    0.25805    0.10555    0.37934    0.26974    0.00701    0.15398    0.23251   -0.00656    0.12964    0.18011    0.06283    0.13022    0.03207    0.14410    0.11996   48.94926   46.32034   13.65099   12.52838    0.04067    0.01767    0.03184    0.01861    0.03612    0.00574    0.06254    0.02010    0.00540    0.04136    0.06178    0.00857    0.08035    0.00973    0.01790    0.01665  107.72510   70.70962   90.02076  -83.58066  -59.02062  153.34033  -53.13966  -38.82850  115.41921  121.11663
1 16  381.43778  213.62259  467.24326  -81.97658  -63.04070  251.49889  -79.21159  -79.18903   95.18489  246.16875    0.60378    0.26686    0.11317    0.38778    0.30255   -0.00034    0.13609    0.20734   -0.00995    0.06714    0.11810    0.04128    0.15116    0.03617    0.12201    0.10249   47.80028   47.04914   15.95492   14.57247    0.02712    0.01752    0.03325    0.02312    0.04177    0.00561    0.06355    0.02600    0.00597    0.03498    0.05918    0.00907    0.07541    0.00955    0.01555    0.01709   73.18682   45.93429   68.86042  -57.77003  -38.19575  155.83518  -39.01221  -28.28747  125.84541  136.33072
1 17  374.05493  209.18956  463.23120  -84.64202  -61.38275  253.36042  -82.16030  -79.04513   97.15968  247.01628    0.59555    0.26634    0.11729    0.38636    0.30081    0.00186    0.13708    0.20215   -0.00050    0.09382    0.12672    0.02948    0.12802    0.02697    0.12740    0.08501   49.12241   47.27925   16.87885   15.15448    0.03205    0.01750    0.02776    0.01942    0.03521    0.00544    0.05573    0.02091    0.00610    0.03569    0.05608    0.00968    0.05412    0.00885    0.01228    0.01925   91.34686   69.35597  106.19040  -74.01154  -58.83557  149.02303  -49.26084  -51.10778  109.03341  121.02106
1 18  369.14599  209.26352  461.06809  -86.69477  -64.85649  252.11354  -84.80474  -79.49268   96.06345  245.38791    0.60160    0.27018    0.08907    0.36285    0.28600    0.00982    0.13648    0.22696   -0.01223    0.12887    0.15986    0.04039    0.16542    0.03402    0.11654    0.11180   50.02855   48.23630   14.40695   12.63814    0.03094    0.01370    0.02138    0.01615    0.02947    0.00550    0.05564    0.01926    0.00595    0.02681    0.05525    0.00727    0.06693    0.00987    0.01254    0.01688   77.57597   51.38209   76.65428  -53.53408  -28.95370  122.00099  -37.08430  -22.31954  105.12813  126.25564
1 19  364.94728  203.82231  454.83069  -89.25617  -66.78781  249.01420  -84.34920  -83.16202   94.87915  244.87294    0.60785    0.26742    0.10233    0.37839    0.24975   -0.00282    0.12148    0.19228   -0.01158    0.07897    0.08371    0.02538    0.15622    0.01436    0.10759    0.11860   50.51420   48.34973   16.45729   15.37926    0.03507    0.01903    0.02161    0.01638    0.03559    0.00518    0.05260    0.01896    0.00402    0.03278    0.06252    0.00821    0.05235    0.00974    0.01256    0.01877   87.06914   65.31740   93.02617  -46.93058  -36.06766  136.10982  -25.42452  -24.26709  115.72945  133.31454
1 20  364.01777  203.55225  450.92249  -92.33983  -71.22311  247.09682  -84.60809  -85.10684   92.91822  242.25655    0.59154    0.25366    0.12181    0.38277    0.26520   -0.00023    0.12623    0.19567   -0.01010    0.10442    0.09150    0.02631    0.16566    0.02029    0.11320    0.10446   51.29034   49.50947   16.78036   14.30694    0.02974    0.01655    0.02540    0.01598    0.04296    0.00480    0.04726    0.01878    0.00519    0.02252    0.04869    0.01055    0.05465    0.00958    0.01372    0.01889  104.97028   79.27366  111.22557  -63.01764  -54.86627  156.70951  -31.24066  -41.66687  128.17386  145.81987
1 21  356.07265  199.00308  444.65535  -94.01239  -72.91523  248.18017  -85.70661  -87.02196   93.37119  243.51743    0.55723    0.26065    0.14054    0.36884    0.28551   -0.01076    0.08988    0.19904   -0.01482    0.10073    0.07902    0.01330    0.12507    0.01779    0.13578    0.10777   52.74971   50.48130   15.29811   14.71605    0.03480    0.01728    0.02509    0.01765    0.03563    0.00444    0.04809    0.01911    0.00358    0.02802    0.04819    0.01079    0.04755    0.00959    0.01256    0.01313   87.06656   73.60866  120.06950  -73.07996  -66.56477  176.54270  -49.38019  -52.18882  144.64100  151.74047
1 22  352.23648  196.42843  441.20451  -95.26786  -72.11431  247.83929  -85.66450  -84.83248   92.90368  242.57379    0.56782    0.25878    0.12597    0.36172    0.22950   -0.01219    0.08305    0.18484   -0.02014    0.09921    0.12893    0.01647    0.12401    0.00909    0.12478    0.09900   52.47675   49.21543   17.64892   15.41958    0.03747    0.01486    0.02351    0.01825    0.03130    0.00465    0.04353    0.02251    0.00276    0.02366    0.05704    0.01009    0.05119    0.00950    0.01281    0.01614   76.71163   57.90997   89.45714  -30.57811  -24.10875  156.77814  -13.03447  -10.77900  140.36413  161.23742
1 23  346.22969  189.11579  440.51866  -95.73978  -70.73233  249.49763  -89.03028  -86.11356   94.76288  242.80506    0.56656    0.25580    0.10787    0.35037    0.23416   -0.00100    0.13256    0.20067   -0.02477    0.11104    0.09182   -0.00690    0.12794    0.01278    0.10839    0.11629   54.01772   51.44180   18.19338   16.09053    0.04197    0.01154    0.02242    0.01817    0.02877    0.00502    0.04220    0.02373    0.00270    0.02380    0.05024    0.01041    0.05166    0.01129    0.01446    0.01442   74.19296   53.14182   86.41846  -41.60283  -25.28244  139.70493  -21.53004  -12.01668  115.50007  132.09921
1 24  342.82960  188.90434  444.39590  -96.74627  -70.35917  246.10815  -87.82728  -86.81859   92.63581  242.95810    0.55675    0.25471    0.10886    0.36802    0.27556   -0.00368    0.06894    0.18696   -0.02916    0.09138    0.08144   -0.02022    0.11974   -0.00028    0.11904    0.10530   53.96197   51.25910   16.46377   13.47616    0.03946    0.01860    0.02476    0.01677    0.03120    0.00519    0.03451    0.02029    0.00239    0.02112    0.05125    0.01099    0.04807    0.00991    0.01319    0.01756   87.59595   65.95382  102.84657  -52.57149  -40.35087  140.51015  -30.51817  -27.18569  121.71494  146.11743
1 25  337.04232  182.88707  436.78480  -97.35719  -68.13566  246.27412  -88.49578  -83.62386   92.66157  243.95150    0.55640    0.24247    0.09604    0.35099    0.24830   -0.00419    0.10614    0.16522   -0.01745    0.07727    0.05640    0.00068    0.11011   -0.00323    0.11859    0.09893   55.35087   52.66368   18.33123   15.08405    0.03875    0.01687    0.02218    0.01852    0.03277    0.00443    0.03193    0.02334    0.00271    0.02051    0.04478    0.01261    0.04438    0.00796    0.01344    0.01451  108.86538   82.67197  121.76145  -65.84494  -52.13788  180.94213  -38.61971  -41.01664  166.84314  191.83704
